Column,Statistic,P-Value
0,83522257.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,27846331.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,41474860.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,202122247.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,35632828.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,134629244.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,212606556.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,28359151.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,73453829.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,106440449.0,0.3627817490260928368073223282408434897661209106445312500000000000000000000000000000000000000000000000
10,139721680.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,189616289.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12,15238775.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13,134945220.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14,114485413.0,0.0000000000000000000382606588297165390176711480432273874011921437396756620619164834806724684312939644
15,36071054.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,163767995.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
17,106284818.0,0.2689344595342214594424490314850118011236190795898437500000000000000000000000000000000000000000000000
18,9081302.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,21207619.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,203503669.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21,58425736.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
22,142089785.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,13129127.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
24,91577675.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000002534068518759474
25,59083954.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26,8479147.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27,159706464.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
28,213276158.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
29,212167195.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
30,204799642.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
31,164618648.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
32,176279386.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33,48064420.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
34,17887751.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
35,16859915.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
36,3623919.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
37,355412.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
38,150777495.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
39,13782673.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40,213688981.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
41,210004967.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42,77286859.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
43,14526112.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
44,35280452.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
45,152567809.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
46,10085545.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
47,194075578.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
48,181261168.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
49,158904503.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
50,31193289.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
51,18811891.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52,184827105.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
53,12168140.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
54,199430680.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
55,8255360.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
56,63356600.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
57,199016895.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
58,99707521.0,0.0000000000000000000075811723277027305648697418586301381615263141166440804825498583907616989563393872
59,169255.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
60,209541510.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61,162055148.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
62,18716278.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63,77556746.0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
